rank,label,ckpt_epoch,epoch_check,survived,truncated_at_step,truncated_channel,steps_run,median_cross_3sigma,n_past_3sigma,ps_drift_hpa@600,ps_drift_hpa@1460,t17_drift_k@1460,z10_drift_m@1460,trefht_drift_k@1460,ps_drift_hpa@last,first_past_3sigma,run_dir,ckpt,nc
1,B_e22,22,ok,1,-1,,1460,-1,0,0.5977234811079688,0.6676731772143103,-0.44092604690092685,-3.919173233793117,-0.33488605244627934,0.6676731772143103,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v1.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_B_e22.nc
2,B_e24,24,ok,1,-1,,1460,-1,0,-2.7278020353408645,4.642162222707993,1.7931002874324236,53.22209199927056,1.6758946194939313,4.642162222707993,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v3.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_B_e24.nc
3,B_e21,21,ok,1,-1,,1460,-1,0,-27.220307822478937,-57.95930811728336,-1.3796357737111293,254.1299439837203,-1.3834260776790188,-57.95930811728336,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_B_e21.nc
4,nf4p_r1_e01,1,ok,1,-1,,1460,-1,0,-26.180641098115156,-62.921820797503756,-2.9413142424989474,268.04519531401456,-3.060438018831121,-62.921820797503756,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_proxy_b8_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_proxy_b8_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_nf4p_r1_e01.nc
5,C1_e14,14,ok,1,-1,,1460,-1,1,-6.087689461827977,-5.057612177896517,0.18604890721377387,6.101085031175899,0.3118249033805114,-5.057612177896517,V_l00@425,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v13.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e14.nc
6,C1_e23,23,ok,1,-1,,1460,-1,1,-4.813767642565363,-13.609229854169826,-0.32680897834501366,64.69649911366287,-0.3634278937631734,-13.609229854169826,V_l00@716,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v22.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e23.nc
7,C1_e24,24,ok,1,-1,,1460,-1,1,-17.02724141250481,-26.491721961685837,-0.36326102211091893,111.74714487845995,-0.2474709202936083,-26.491721961685837,V_l00@465,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v23.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e24.nc
8,B_e01,1,ok,1,-1,,1460,-1,1,-13.343592453524034,-30.976363050082437,-0.8281927373336089,125.14785846310406,-0.8543119131369963,-30.976363050082437,V_l00@1458,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_B_e01.nc
9,C1_e19,19,ok,1,-1,,1460,-1,1,-19.485288501715697,-46.28647997565189,-0.26088664106430315,242.06903107163998,-0.39658511224081394,-46.28647997565189,V_l00@301,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v18.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e19.nc
10,C1_e18,18,ok,1,-1,,1460,-1,1,-30.422050869961385,-51.102559757326674,-0.9051785321066177,223.70658073506638,-0.7695256777475379,-51.102559757326674,V_l00@243,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v17.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649647/screen_C1_e18.nc
