rank,label,ckpt_epoch,epoch_check,survived,truncated_at_step,truncated_channel,steps_run,median_cross_3sigma,n_past_3sigma,ps_drift_hpa@600,ps_drift_hpa@1460,t17_drift_k@1460,z10_drift_m@1460,trefht_drift_k@1460,ps_drift_hpa@last,first_past_3sigma,run_dir,ckpt,nc
1,B_e22,22,ok,1,-1,,1460,-1,0,0.7029741834242305,-0.4626451718807221,-0.2930579519709795,-0.6889900708829373,-0.15572998862296572,-0.4626451718807221,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v1.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_B_e22.nc
2,B_e24,24,ok,1,-1,,1460,-1,0,-2.878439719748858,4.542405334471405,1.485666081675788,46.15386624631719,1.3671433928593615,4.542405334471405,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v3.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_B_e24.nc
3,B_e01,1,ok,1,-1,,1460,-1,1,-13.289378497784346,-31.97887937933978,-1.4751892160387001,122.2468624371595,-1.4827059389893975,-31.97887937933978,V_l00@1353,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_B_e01.nc
4,C1_e18,18,ok,1,-1,,1460,-1,1,-30.978019285695336,-50.17925979765976,-0.7967633220411017,246.80182646663707,-0.6751523885675397,-50.17925979765976,V_l00@1026,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v17.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e18.nc
5,B_e21,21,ok,1,-1,,1460,-1,1,-27.330538112860815,-56.49375199175862,-1.5025894269926994,234.0130588469856,-1.4851535617737,-56.49375199175862,V_l00@1387,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_B_e21.nc
6,C1_e24,24,ok,1,-1,,1460,-1,2,-15.860316600872174,-24.952979126672727,0.20528985386516752,137.7816193192357,0.36846719037953335,-24.952979126672727,V_l00@274 RELHUM_l00@1302,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v23.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e24.nc
7,C1_e12,12,ok,1,-1,,1460,-1,2,-11.474773220852367,-30.078731607284425,-1.2110813478422529,128.00539797692545,-1.1593957173041645,-30.078731607284425,V_l00@1152 RELHUM_l00@1331,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v11.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e12.nc
8,C1_e20,20,ok,1,-1,,1460,-1,2,-29.46282394468828,-68.2651229054491,-2.354519547195366,288.75262188409215,-2.2703321029486574,-68.2651229054491,RELHUM_l00@839 V_l00@1437,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v19.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e20.nc
9,B_e23,23,ok,1,-1,,1460,-1,3,-34.9546724590259,-69.50554046724021,-0.5347329501835816,334.2342133477632,-0.5292884379656471,-69.50554046724021,SOILWATER_10CM@716 V_l01@805 V_l00@1387,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v2.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_B_e23.nc
10,C1_e19,19,ok,1,-1,,1460,-1,4,-21.220118673344114,-51.488095960604845,-0.06562449272473714,273.30383558497124,-0.2052364159400213,-51.488095960604845,V_l00@701 RELHUM_l04@1080 V_l01@1200,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v18.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e19.nc
11,C1_e13,13,ok,1,-1,,1460,-1,4,-49.78731301607884,-82.00253201421583,-0.2809444605749718,408.2708877674431,-0.3241408799840997,-82.00253201421583,RELHUM_l04@1034 RELHUM_l00@1049 V_l00@1065,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v12.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7649792/screen_C1_e13.nc
