rank,label,ckpt_epoch,epoch_check,survived,truncated_at_step,truncated_channel,steps_run,median_cross_3sigma,n_past_3sigma,ps_drift_hpa@600,ps_drift_hpa@1460,t17_drift_k@1460,z10_drift_m@1460,trefht_drift_k@1460,ps_drift_hpa@last,tmq_drift_kgm2@1460,dry_drift_hpa@600,dry_drift_hpa@1460,first_past_3sigma,run_dir,ckpt,nc
1,B_e22,22,ok,1,-1,,1460,-1,0,-0.035119740927184465,-0.06505633958178805,-0.5896354312728249,-9.645112529018661,-0.5015676974200574,-0.06505633958178805,-0.665886673876507,0.0003089219507148666,0.0002448359219224194,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v1.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_B_e22.nc
2,B_e21,21,ok,1,-1,,1460,-1,0,-0.12474197854709929,-0.15912102399772265,-2.3117319531141334,131.86582501505836,-2.362052561189614,-0.15912102399772265,-1.6252933385063102,0.00033053086267511135,0.0002658051829063979,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_B_e21.nc
3,B_e24,24,ok,1,-1,,1460,-1,0,0.1540764682466397,0.2957856454265129,1.9374880530661471,58.6847050316137,1.7293720331940108,0.2957856454265129,3.0135963012184774,0.0003210926696271166,0.00025280375307112023,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v3.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_B_e24.nc
4,B_e01,1,ok,1,-1,,1460,-1,0,-0.2086827652210195,-1.0053231028205483,-10.501917977915014,210.52966756291426,-10.215247928096119,-1.0053231028205483,-10.254516911037179,0.00033235321060523407,0.00030147983567914595,,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/best_ckpt_mp0.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_B_e01.nc
5,C1_e12,12,ok,1,-1,,1460,-1,1,-0.01347000699606724,-0.0629861355428875,-1.948630905389905,258.7209760287369,-2.1203101228903733,-0.0629861355428875,-0.6449484012324334,0.00031174409425266836,0.0002616968465729297,V_l00@847,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v11.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e12.nc
6,C1_e23,23,ok,1,-1,,1460,-1,1,0.07463085412688088,-0.20042990049318177,-2.180936593216245,133.10452871243615,-2.320125153850711,-0.20042990049318177,-2.0465497491927778,0.00032017820743429404,0.00026807048603174624,V_l00@1213,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v22.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e23.nc
7,C1_e19,19,ok,1,-1,,1460,-1,2,0.09516718615792343,-0.14344648554746528,-3.3145242273699296,376.0061463748116,-3.6445830864128084,-0.14344648554746528,-1.4654945803330648,0.00032051045576489304,0.0002694387147672117,V_l00@611 T_l00@1339,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v18.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e19.nc
8,B_e23,23,ok,1,-1,,1460,-1,2,-0.1627277270895138,-0.26573634726766615,-2.7617119001091623,197.6061070699816,-2.9693536469243327,-0.26573634726766615,-2.7130363540984135,0.00034928083728491544,0.00032163235152591344,SOILWATER_10CM@724 V_l00@1019,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/nf4_prod_b16_r1/training_checkpoints/ckpt_mp0_v2.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_B_e23.nc
9,C1_e24,24,ok,1,-1,,1460,-1,3,-0.048764660849265055,-0.09566942857170943,-1.1307276834123172,169.9533701062428,-1.0998346009950524,-0.09566942857170943,-0.97851662893558,0.0003350090897289171,0.0002902724198016138,V_l00@227 U_l00@1086 RELHUM_l00@1161,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v23.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e24.nc
10,C1_e20,20,ok,1,-1,,1460,-1,6,-0.1400834934442537,-0.3019107668910874,-3.485333398791397,230.51676967744788,-3.535709958712687,-0.3019107668910874,-3.0817488729879763,0.00033687571332176704,0.00030555896178796615,V_l00@474 U_l00@875 T_l00@939,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v19.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e20.nc
11,C1_e07,7,ok,1,-1,,1460,-1,8,-0.007846338245435618,-0.029803027245070553,-3.4927592614202467,677.4559523109856,-3.4048721936899824,-0.029803027245070553,-0.3067865955948683,0.000318637225724695,0.0002824604318335977,V_l00@382 U_l00@809 T_l00@830,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v6.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e07.nc
12,C1_e09,9,ok,1,-1,,1460,-1,8,-0.051552516664814904,-0.7554200101620517,-6.655904231551574,947.9628733207901,-7.240398207742203,-0.7554200101620517,-7.705897114560798,0.00033846749408116493,0.00027034922302476616,V_l00@861 U_l00@921 T_l00@927,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v8.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e09.nc
13,C1_e18,18,ok,1,-1,,1460,-1,22,-0.13041890879918355,-0.522272057717928,-5.9646540369193985,1571.1595136150208,-6.744830647597212,-0.522272057717928,-5.328685093795418,0.0003415205804420651,0.0002934390327603609,V_l00@254 T_l00@642 U_l00@679,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v17.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e18.nc
14,C1_e14,14,ok,1,-1,,1460,1433,72,0.062375256051309405,-4.1003161093527165,-64.4612101180285,341.4036250010595,-62.22365197126865,-4.1003161093527165,-41.814969629900325,0.0003477789646085494,0.0003316098579040272,V_l00@426 RELHUM_l00@1228 RELHUM_l04@1295,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v13.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e14.nc
15,C1_e03,3,ok,0,1173,PS,1172,971,101,0.22769051542374655,nan,nan,nan,nan,-1.466921179902011e+16,nan,0.0003389263852005442,nan,V_l00@336 RELHUM_l04@355 RELHUM_l05@379,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v2.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e03.nc
16,C1_e13,13,ok,0,988,PS,987,785,101,-0.25851083894696786,nan,nan,nan,nan,-1.3317411895516834e+16,nan,0.00032186862316681443,nan,V_l00@377 RELHUM_l05@601 RELHUM_l04@603,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_mn_scaling/e3sm_mn_scaling/c1_rollout_full_b16/training_checkpoints/ckpt_mp0_v12.tar,/eagle/projects/lighthouse-uchicago/members/mehta5/runs/makani_eval/climate_screen_7650652/screen_C1_e13.nc
