timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/05/29 23:04:45.819, 0, 0, 0, 0
2026/05/29 23:04:45.822, 1, 0, 0, 0
2026/05/29 23:04:45.824, 2, 0, 0, 0
2026/05/29 23:04:45.827, 3, 0, 0, 0
2026/05/29 23:04:46.830, 0, 0, 0, 0
2026/05/29 23:04:46.832, 1, 0, 0, 0
2026/05/29 23:04:46.842, 2, 0, 0, 0
2026/05/29 23:04:46.844, 3, 0, 0, 0
2026/05/29 23:04:47.846, 0, 0, 0, 0
2026/05/29 23:04:47.848, 1, 0, 0, 0
2026/05/29 23:04:47.850, 2, 0, 0, 0
2026/05/29 23:04:47.851, 3, 0, 0, 0
2026/05/29 23:04:48.853, 0, 0, 0, 0
2026/05/29 23:04:48.854, 1, 0, 0, 0
2026/05/29 23:04:48.856, 2, 0, 0, 0
2026/05/29 23:04:48.857, 3, 0, 0, 0
2026/05/29 23:04:49.859, 0, 0, 0, 0
2026/05/29 23:04:49.861, 1, 0, 0, 0
2026/05/29 23:04:49.862, 2, 0, 0, 0
2026/05/29 23:04:49.864, 3, 0, 0, 0
2026/05/29 23:04:50.866, 0, 0, 0, 0
2026/05/29 23:04:50.868, 1, 0, 0, 0
2026/05/29 23:04:50.870, 2, 0, 0, 0
2026/05/29 23:04:50.874, 3, 0, 0, 0
2026/05/29 23:04:51.880, 0, 0, 0, 0
2026/05/29 23:04:51.881, 1, 0, 0, 0
2026/05/29 23:04:51.883, 2, 0, 0, 0
2026/05/29 23:04:51.885, 3, 0, 0, 0
2026/05/29 23:04:52.886, 0, 0, 0, 0
2026/05/29 23:04:52.888, 1, 0, 0, 0
2026/05/29 23:04:52.890, 2, 0, 0, 0
2026/05/29 23:04:52.892, 3, 0, 0, 0
2026/05/29 23:04:53.893, 0, 0, 0, 0
2026/05/29 23:04:53.895, 1, 0, 0, 0
2026/05/29 23:04:53.896, 2, 0, 0, 0
2026/05/29 23:04:53.898, 3, 0, 0, 0
2026/05/29 23:04:54.899, 0, 0, 0, 0
2026/05/29 23:04:54.901, 1, 0, 0, 0
2026/05/29 23:04:54.903, 2, 0, 0, 0
2026/05/29 23:04:54.904, 3, 0, 0, 0
2026/05/29 23:04:55.906, 0, 0, 0, 0
2026/05/29 23:04:55.908, 1, 0, 0, 0
2026/05/29 23:04:55.910, 2, 0, 0, 0
2026/05/29 23:04:55.911, 3, 0, 0, 0
2026/05/29 23:04:56.913, 0, 0, 0, 0
2026/05/29 23:04:56.914, 1, 0, 0, 0
2026/05/29 23:04:56.916, 2, 0, 0, 0
2026/05/29 23:04:56.917, 3, 0, 0, 0
2026/05/29 23:04:57.919, 0, 0, 0, 0
2026/05/29 23:04:57.921, 1, 0, 0, 0
2026/05/29 23:04:57.922, 2, 0, 0, 0
2026/05/29 23:04:57.924, 3, 0, 0, 0
2026/05/29 23:04:58.926, 0, 0, 0, 0
2026/05/29 23:04:58.928, 1, 0, 0, 0
2026/05/29 23:04:58.929, 2, 0, 0, 0
2026/05/29 23:04:58.931, 3, 0, 0, 0
2026/05/29 23:04:59.933, 0, 0, 0, 0
2026/05/29 23:04:59.941, 1, 0, 0, 0
2026/05/29 23:04:59.943, 2, 0, 0, 0
2026/05/29 23:04:59.945, 3, 0, 0, 0
2026/05/29 23:05:00.947, 0, 0, 0, 0
2026/05/29 23:05:00.948, 1, 0, 0, 0
2026/05/29 23:05:00.950, 2, 0, 0, 0
2026/05/29 23:05:00.952, 3, 0, 0, 0
2026/05/29 23:05:01.953, 0, 0, 0, 0
2026/05/29 23:05:01.955, 1, 0, 0, 0
2026/05/29 23:05:01.957, 2, 0, 0, 0
2026/05/29 23:05:01.958, 3, 0, 0, 0
2026/05/29 23:05:02.960, 0, 0, 0, 0
2026/05/29 23:05:02.961, 1, 0, 0, 0
2026/05/29 23:05:02.963, 2, 0, 0, 0
2026/05/29 23:05:02.965, 3, 0, 0, 0
2026/05/29 23:05:03.967, 0, 0, 0, 0
2026/05/29 23:05:03.969, 1, 0, 0, 0
2026/05/29 23:05:03.970, 2, 0, 0, 0
2026/05/29 23:05:03.974, 3, 0, 0, 0
2026/05/29 23:05:04.980, 0, 0, 0, 0
2026/05/29 23:05:04.982, 1, 0, 0, 0
2026/05/29 23:05:04.983, 2, 0, 0, 0
2026/05/29 23:05:04.985, 3, 0, 0, 0
2026/05/29 23:05:05.987, 0, 0, 0, 0
2026/05/29 23:05:05.989, 1, 0, 0, 0
2026/05/29 23:05:05.991, 2, 0, 0, 0
2026/05/29 23:05:05.992, 3, 0, 0, 0
2026/05/29 23:05:06.994, 0, 0, 0, 0
2026/05/29 23:05:06.995, 1, 0, 0, 0
2026/05/29 23:05:06.997, 2, 0, 0, 0
2026/05/29 23:05:06.998, 3, 0, 0, 0
2026/05/29 23:05:08.000, 0, 0, 0, 0
2026/05/29 23:05:08.002, 1, 0, 0, 0
2026/05/29 23:05:08.003, 2, 0, 0, 0
2026/05/29 23:05:08.005, 3, 0, 0, 0
2026/05/29 23:05:09.007, 0, 0, 0, 0
2026/05/29 23:05:09.009, 1, 0, 0, 0
2026/05/29 23:05:09.011, 2, 0, 0, 0
2026/05/29 23:05:09.012, 3, 0, 0, 0
2026/05/29 23:05:10.014, 0, 0, 0, 0
2026/05/29 23:05:10.015, 1, 0, 0, 0
2026/05/29 23:05:10.017, 2, 0, 0, 0
2026/05/29 23:05:10.018, 3, 0, 0, 0
2026/05/29 23:05:11.020, 0, 0, 0, 0
2026/05/29 23:05:11.022, 1, 0, 0, 0
2026/05/29 23:05:11.023, 2, 0, 0, 0
2026/05/29 23:05:11.025, 3, 0, 0, 0
2026/05/29 23:05:12.027, 0, 0, 0, 0
2026/05/29 23:05:12.029, 1, 0, 0, 0
2026/05/29 23:05:12.030, 2, 0, 0, 0
2026/05/29 23:05:12.032, 3, 0, 0, 0
2026/05/29 23:05:13.039, 0, 0, 0, 0
2026/05/29 23:05:13.044, 1, 0, 0, 0
2026/05/29 23:05:13.046, 2, 0, 0, 0
2026/05/29 23:05:13.047, 3, 0, 0, 0
2026/05/29 23:05:14.049, 0, 0, 0, 0
2026/05/29 23:05:14.051, 1, 0, 0, 0
2026/05/29 23:05:14.053, 2, 0, 0, 0
2026/05/29 23:05:14.054, 3, 0, 0, 0
2026/05/29 23:05:15.056, 0, 0, 0, 0
2026/05/29 23:05:15.057, 1, 0, 0, 0
2026/05/29 23:05:15.059, 2, 0, 0, 0
2026/05/29 23:05:15.060, 3, 0, 0, 0
2026/05/29 23:05:16.062, 0, 0, 0, 0
2026/05/29 23:05:16.064, 1, 0, 0, 0
2026/05/29 23:05:16.065, 2, 0, 0, 0
2026/05/29 23:05:16.075, 3, 0, 0, 0
